-0.16	5.57
0.08	5.26
0.31	5.34
0.24	5.18
0.31	5.34
0.16	5.57
0.39	5.49
0.39	5.57
0.78	5.89
2.28	6.12
2.12	5.96
1.81	5.73
1.41	5.02
2.59	3.37
3.92	2.83
2.35	2.12
7.3	2.59
11.3	2.51
10.36	1.73
9.18	2.28
8.48	2.2
7.14	3.22
5.02	3.45
2.83	3.3
-0.16	3.06
0.39	3.14
-1.41	1.33
-0.71	0.16
6.04	0.24
9.97	-0.47
12.09	-1.65
13.26	-2.51
13.26	-2.43
11.54	-2.28
9.34	-1.18
5.89	0.39
2.9	1.65
1.81	3.37
-0.08	4
-2.12	2.83
-2.59	1.65
0.94	0.94
5.73	0.08
9.73	-1.73
13.18	-2.75
13.66	-3.22
12.95	-2.75
9.34	-1.73
7.69	-0.16
6.04	1.49
2.43	2.2
1.81	3.22
-0.94	3.77
-3.3	2.83
-2.51	2.28
-0.71	1.49
4	0.16
9.5	-0.78
11.14	-2.04
12.16	-2.51
12.71	-2.43
12.24	-2.28
9.97	-1.49
7.77	-0.24
3.61	0.94
1.88	2.43
-0.31	3.77
-1.41	3.85
-1.88	3.92
-2.2	2.51
-0.71	1.18
6.67	0.78
7.14	0.39
9.1	-0.55
11.22	-1.57
11.69	-1.41
11.22	-1.1
8.71	-0.24
6.59	1.18
3.22	2.51
0.63	3.53
-0.86	3.92
-1.81	3.85
-3.92	3.37
-0.16	2.35
5.73	1.81
8.63	1.33
10.12	0.31
11.77	-0.16
12.87	-0.08
10.91	-0.39
8.48	-0.31
6.2	0.55
3.53	1.49
1.41	2.9
-0.63	4
-1.1	4.24
-3.22	3.92
-2.2	2.98
2.59	1.96
7.77	0.63
13.03	-0.63
13.11	-1.41
11.85	-1.26
9.5	-0.55
7.22	0.78
5.34	2.2
2.04	3.06
0.39	3.92
-1.02	4.24
-3.61	3.22
-3.45	2.67
1.33	2.35
4.87	1.41
9.1	0.31
10.52	-0.63
12.79	-0.86
10.99	-0.86
9.81	0
6.59	1.41
4.16	2.75
2.28	3.61
0.47	4.24
-0.71	4
-3.3	2.98
-3.45	2.43
1.26	2.12
8.24	1.88
11.07	0.55
12.01	0
9.97	-0.31
11.22	0
7.61	0.63
6.51	2.04
3.61	2.83
1.18	3.37
-0.86	3.37
-2.35	2.9
-1.88	2.35
0.78	2.35
4.87	2.35
8.24	1.65
10.28	0.47
9.57	-0.16
10.12	-0.08
8.4	0.24
7.14	1.41
4.63	2.59
1.88	3.37
-0.24	4
-0.63	4.32
-1.33	4.16
-1.73	3.92
-0.24	3.45
3.14	2.83
7.69	1.65
11.22	0.39
12.4	0.31
10.99	0.31
9.18	0.78
7.14	1.65
4.63	2.51
2.51	2.9
-0.39	3.3
-2.28	3.14
-3.3	3.06
-0.94	3.22
2.35	3.06
5.65	3.22
7.46	2.04
10.36	1.41
10.52	0.47
10.12	0.55
7.85	1.33
6.44	2.12
3.45	3.69
2.28	3.69
-0.78	3.06
-2.83	2.35
-2.51	2.43
-1.02	2.75
2.59	2.35
7.77	1.57
11.93	0.24
11.07	-0.47
10.75	-0.16
8.63	0.47
6.59	1.41
3.85	2.28
0.78	2.9
-1.02	3.37
-1.88	3.37
-3.53	2.51
-2.98	2.12
0.71	2.28
7.3	2.83
10.59	1.41
10.36	0
10.2	-0.08
8.63	0.55
6.75	1.33
5.18	2.59
2.28	2.98
0.39	3.3
-1.96	3.69
-3.92	2.75
-1.49	2.35
2.2	2.35
5.81	1.88
9.34	1.73
10.59	0.78
9.89	0.08
9.26	0.47
7.69	1.33
4.24	2.28
2.04	3.06
-0.63	3.37
-2.51	2.9
-1.26	2.28
-2.83	1.88
-0.55	1.49
3.61	1.1
9.1	0.16
10.99	0
11.07	-0.86
9.03	-0.86
6.59	-0.16
4.39	1.41
2.59	2.83
1.18	3.53
-1.81	3.92
-3.06	3.14
-2.9	2.9
0.78	2.67
4.16	1.26
6.75	0.31
10.05	-0.08
10.12	-0.16
9.34	0.16
7.77	1.02
6.04	1.96
2.43	2.35
-0.31	3.37
-1.26	4.47
-1.33	4.24
-2.9	2.9
-2.04	1.18
2.75	0.55
9.81	0.24
11.22	-0.94
10.44	-1.33
10.05	-0.24
7.69	0.55
5.73	1.96
2.51	2.67
1.41	3.22
0.31	3.69
-0.63	3.22
-3.85	1.96
-1.65	1.88
4	2.12
6.67	1.1
9.81	-0.39
9.26	-1.49
12.09	-0.16
9.1	0.55
7.22	1.49
4.16	1.88
1.65	2.67
0.16	3.61
-0.08	3.45
-1.96	2.75
-2.83	2.75
0.16	2.59
4.71	1.88
8.48	0.24
9.65	-0.71
10.67	-0.55
9.73	0.16
7.46	1.02
5.81	1.88
2.35	2.67
0.86	3.85
-1.1	4.32
-0.55	4.32
-2.43	3.22
-1.49	2.43
0.94	1.81
3.92	0.78
10.83	0
12.01	-0.55
10.83	-0.71
9.57	-0.31
6.67	0.78
2.75	2.28
0.63	3.69
-1.81	4.16
-2.04	3.92
-1.57	3.3
0.39	2.51
3.14	1.57
5.34	1.26
6.67	0.39
8.63	0.08
9.97	0.24
9.1	0.24
8.16	0.94
5.81	1.49
3.14	2.28
0.94	3.3
-2.43	3.37
-3.14	2.2
-2.35	2.12
1.88	2.28
6.2	1.96
8.87	0.94
9.5	-0.24
10.2	-0.08
9.81	0
7.85	0.47
5.57	1.41
2.43	2.28
0	3.37
-2.04	3.53
-1.81	3.61
-1.49	2.98
-0.71	2.35
4.55	1.96
7.93	1.1
8.95	-0.08
9.89	-0.16
9.73	0.08
8.24	0.78
6.59	1.41
4.16	2.43
1.02	3.14
-0.94	3.77
-1.88	3.53
-2.59	3.14
-0.63	2.83
3.06	2.67
5.57	1.81
8.48	0.55
9.5	-0.08
9.65	-0.16
9.5	0.31
7.38	0.94
5.34	1.73
1.81	2.43
0.31	3.45
-1.02	4
-2.59	3.45
-2.59	2.67
-0.08	1.73
2.83	1.65
7.53	1.33
9.81	0.08
10.44	-0.55
9.57	-0.16
8.24	0.55
6.2	1.57
3.37	2.35
1.1	2.98
-1.57	3.37
-1.41	3.37
-3.06	2.59
-0.39	2.2
4.08	2.43
5.65	1.49
7.14	0.24
9.1	-0.08
9.97	0.55
8.24	0.71
6.36	1.49
3.77	2.59
1.57	3.61
-0.08	4.24
-1.49	4.08
-2.75	3.45
-1.26	2.59
0.63	2.12
4	1.41
7.93	0.24
9.03	-0.16
9.03	-0.24
8.32	0.78
7.3	1.65
6.04	2.51
3.53	2.83
1.49	3.53
-0.24	4.08
0.16	4.24
-1.1	3.85
-0.94	2.9
0.94	2.75
4.24	1.41
8.08	0.47
8.87	0.08
8.55	0.16
7.85	0.86
7.61	1.96
6.36	2.59
3.14	2.83
1.33	3.22
-1.33	3.22
-1.65	3.06
-3.45	2.04
